candidate_id,series,candidate_order,x_px,y_px,x,y,uncertainty_x,uncertainty_y,visibility_status,evidence_segment_break_before,evidence_break_reason,source_sha256,spec_sha256,extractor_id,quality_status,anomaly_codes
response:000001,response,1,20,78.5,-3.552713678800501e-15,-0.049999999999998046,0.050000000000000266,0.04999999999999982,visible_color_supported,false,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,native_color_line_v1,ordinary,
response:000002,response,2,21,78.5,0.09999999999999654,-0.049999999999998046,0.04999999999999982,0.04999999999999982,visible_color_supported,false,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,native_color_line_v1,ordinary,
response:000003,response,3,22,77.5,0.19999999999999662,0.0500000000000016,0.050000000000000266,0.04999999999999982,visible_color_supported,false,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,native_color_line_v1,ordinary,
response:000004,response,4,23,77.5,0.2999999999999967,0.0500000000000016,0.050000000000000266,0.04999999999999982,visible_color_supported,false,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,native_color_line_v1,ordinary,
response:000005,response,5,24,76.5,0.3999999999999968,0.15000000000000213,0.050000000000000266,0.05000000000000071,visible_color_supported,false,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,native_color_line_v1,ordinary,
response:000006,response,6,25,76.5,0.4999999999999969,0.15000000000000213,0.050000000000000266,0.05000000000000071,visible_color_supported,false,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,native_color_line_v1,ordinary,
response:000007,response,7,26,75.5,0.599999999999997,0.2500000000000018,0.050000000000000266,0.04999999999999982,visible_color_supported,false,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,native_color_line_v1,ordinary,
response:000008,response,8,27,75.5,0.6999999999999966,0.2500000000000018,0.050000000000000266,0.04999999999999982,visible_color_supported,false,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,native_color_line_v1,ordinary,
response:000009,response,9,28,75.5,0.7999999999999967,0.2500000000000018,0.050000000000000266,0.04999999999999982,visible_color_supported,false,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,native_color_line_v1,ordinary,
response:000010,response,10,29,74.5,0.8999999999999968,0.3500000000000014,0.050000000000000266,0.04999999999999982,visible_color_supported,false,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,native_color_line_v1,ordinary,
response:000011,response,11,30,74.5,0.9999999999999969,0.3500000000000014,0.050000000000000266,0.04999999999999982,visible_color_supported,false,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,native_color_line_v1,ordinary,
response:000012,response,12,31,73.5,1.099999999999997,0.45000000000000195,0.050000000000000266,0.05000000000000071,visible_color_supported,false,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,native_color_line_v1,ordinary,
