series,curve_order,x,y,formal_segment_id,formal_segment_break_before,evidence_segment_break_before,evidence_break_reason,source_kind,source_observation_ids,source_candidate_ids,uncertainty_x,uncertainty_y,derivation_method,guide_path_sha256,source_sha256,spec_sha256,candidates_sha256,observations_sha256,review_decisions_sha256
response,1,-3.552713678800501e-15,-0.049999999999998046,1,false,false,,reviewed_visible_observation,obs:response:000001,response:000001,0.050000000000000266,0.04999999999999982,reviewed_observations_v1,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,754551dd47950ff4b919d03244338110e22ca8740713c8074cbce08c90b6d36b,ad2e0bb990d1a5fc3d7c726105bbba471d1048bc9ab07b4a64613afa63512819,c1c7fc7d32b67809b202ec79e4fa65e7b92e4dc56a5989f67f7b9b9180e5286c
response,2,0.09999999999999654,-0.049999999999998046,1,false,false,,reviewed_visible_observation,obs:response:000002,response:000002,0.04999999999999982,0.04999999999999982,reviewed_observations_v1,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,754551dd47950ff4b919d03244338110e22ca8740713c8074cbce08c90b6d36b,ad2e0bb990d1a5fc3d7c726105bbba471d1048bc9ab07b4a64613afa63512819,c1c7fc7d32b67809b202ec79e4fa65e7b92e4dc56a5989f67f7b9b9180e5286c
response,3,0.19999999999999662,0.0500000000000016,1,false,false,,reviewed_visible_observation,obs:response:000003,response:000003,0.050000000000000266,0.04999999999999982,reviewed_observations_v1,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,754551dd47950ff4b919d03244338110e22ca8740713c8074cbce08c90b6d36b,ad2e0bb990d1a5fc3d7c726105bbba471d1048bc9ab07b4a64613afa63512819,c1c7fc7d32b67809b202ec79e4fa65e7b92e4dc56a5989f67f7b9b9180e5286c
response,4,0.2999999999999967,0.0500000000000016,1,false,false,,reviewed_visible_observation,obs:response:000004,response:000004,0.050000000000000266,0.04999999999999982,reviewed_observations_v1,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,754551dd47950ff4b919d03244338110e22ca8740713c8074cbce08c90b6d36b,ad2e0bb990d1a5fc3d7c726105bbba471d1048bc9ab07b4a64613afa63512819,c1c7fc7d32b67809b202ec79e4fa65e7b92e4dc56a5989f67f7b9b9180e5286c
response,5,0.3999999999999968,0.15000000000000213,1,false,false,,reviewed_visible_observation,obs:response:000005,response:000005,0.050000000000000266,0.05000000000000071,reviewed_observations_v1,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,754551dd47950ff4b919d03244338110e22ca8740713c8074cbce08c90b6d36b,ad2e0bb990d1a5fc3d7c726105bbba471d1048bc9ab07b4a64613afa63512819,c1c7fc7d32b67809b202ec79e4fa65e7b92e4dc56a5989f67f7b9b9180e5286c
response,6,0.4999999999999969,0.15000000000000213,1,false,false,,reviewed_visible_observation,obs:response:000006,response:000006,0.050000000000000266,0.05000000000000071,reviewed_observations_v1,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,754551dd47950ff4b919d03244338110e22ca8740713c8074cbce08c90b6d36b,ad2e0bb990d1a5fc3d7c726105bbba471d1048bc9ab07b4a64613afa63512819,c1c7fc7d32b67809b202ec79e4fa65e7b92e4dc56a5989f67f7b9b9180e5286c
response,7,0.599999999999997,0.2500000000000018,1,false,false,,reviewed_visible_observation,obs:response:000007,response:000007,0.050000000000000266,0.04999999999999982,reviewed_observations_v1,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,754551dd47950ff4b919d03244338110e22ca8740713c8074cbce08c90b6d36b,ad2e0bb990d1a5fc3d7c726105bbba471d1048bc9ab07b4a64613afa63512819,c1c7fc7d32b67809b202ec79e4fa65e7b92e4dc56a5989f67f7b9b9180e5286c
response,8,0.6999999999999966,0.2500000000000018,1,false,false,,reviewed_visible_observation,obs:response:000008,response:000008,0.050000000000000266,0.04999999999999982,reviewed_observations_v1,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,754551dd47950ff4b919d03244338110e22ca8740713c8074cbce08c90b6d36b,ad2e0bb990d1a5fc3d7c726105bbba471d1048bc9ab07b4a64613afa63512819,c1c7fc7d32b67809b202ec79e4fa65e7b92e4dc56a5989f67f7b9b9180e5286c
response,9,0.7999999999999967,0.2500000000000018,1,false,false,,reviewed_visible_observation,obs:response:000009,response:000009,0.050000000000000266,0.04999999999999982,reviewed_observations_v1,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,754551dd47950ff4b919d03244338110e22ca8740713c8074cbce08c90b6d36b,ad2e0bb990d1a5fc3d7c726105bbba471d1048bc9ab07b4a64613afa63512819,c1c7fc7d32b67809b202ec79e4fa65e7b92e4dc56a5989f67f7b9b9180e5286c
response,10,0.8999999999999968,0.3500000000000014,1,false,false,,reviewed_visible_observation,obs:response:000010,response:000010,0.050000000000000266,0.04999999999999982,reviewed_observations_v1,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,754551dd47950ff4b919d03244338110e22ca8740713c8074cbce08c90b6d36b,ad2e0bb990d1a5fc3d7c726105bbba471d1048bc9ab07b4a64613afa63512819,c1c7fc7d32b67809b202ec79e4fa65e7b92e4dc56a5989f67f7b9b9180e5286c
response,11,0.9999999999999969,0.3500000000000014,1,false,false,,reviewed_visible_observation,obs:response:000011,response:000011,0.050000000000000266,0.04999999999999982,reviewed_observations_v1,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,754551dd47950ff4b919d03244338110e22ca8740713c8074cbce08c90b6d36b,ad2e0bb990d1a5fc3d7c726105bbba471d1048bc9ab07b4a64613afa63512819,c1c7fc7d32b67809b202ec79e4fa65e7b92e4dc56a5989f67f7b9b9180e5286c
response,12,1.099999999999997,0.45000000000000195,1,false,false,,reviewed_visible_observation,obs:response:000012,response:000012,0.050000000000000266,0.05000000000000071,reviewed_observations_v1,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,754551dd47950ff4b919d03244338110e22ca8740713c8074cbce08c90b6d36b,ad2e0bb990d1a5fc3d7c726105bbba471d1048bc9ab07b4a64613afa63512819,c1c7fc7d32b67809b202ec79e4fa65e7b92e4dc56a5989f67f7b9b9180e5286c
response,13,1.199999999999997,0.45000000000000195,1,false,false,,reviewed_visible_observation,obs:response:000013,response:000013,0.04999999999999982,0.05000000000000071,reviewed_observations_v1,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,754551dd47950ff4b919d03244338110e22ca8740713c8074cbce08c90b6d36b,ad2e0bb990d1a5fc3d7c726105bbba471d1048bc9ab07b4a64613afa63512819,c1c7fc7d32b67809b202ec79e4fa65e7b92e4dc56a5989f67f7b9b9180e5286c
response,14,1.2999999999999972,0.45000000000000195,1,false,false,,reviewed_visible_observation,obs:response:000014,response:000014,0.050000000000000266,0.05000000000000071,reviewed_observations_v1,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,754551dd47950ff4b919d03244338110e22ca8740713c8074cbce08c90b6d36b,ad2e0bb990d1a5fc3d7c726105bbba471d1048bc9ab07b4a64613afa63512819,c1c7fc7d32b67809b202ec79e4fa65e7b92e4dc56a5989f67f7b9b9180e5286c
response,15,1.3999999999999972,0.5500000000000016,1,false,false,,reviewed_visible_observation,obs:response:000015,response:000015,0.050000000000000266,0.04999999999999982,reviewed_observations_v1,,1bc8dccaf6b89e90aa75c81ef577962877e7c404439a70aee4f5465e46ebd059,754fb6ddb0451047eb8a0d60b4e03d876bf64c6e889684cced3c06038051385f,754551dd47950ff4b919d03244338110e22ca8740713c8074cbce08c90b6d36b,ad2e0bb990d1a5fc3d7c726105bbba471d1048bc9ab07b4a64613afa63512819,c1c7fc7d32b67809b202ec79e4fa65e7b92e4dc56a5989f67f7b9b9180e5286c
